age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,age_first_milestone_year,age_last_milestone_year,avg_participants,is_top500
0.337878323,0.337878323,0.01754386,0,0.000962984,0.125,0.364688533,0.135897588,0.133333333,1
0.339914357,0.339914357,0.087719298,0,0.000348948,0.25,0.390494868,0.187397391,0.133333333,1
0.39463521,0.39463521,0.105263158,0,0.002629654,0.125,0.416231714,0.206002709,0.133333333,1
0.297325685,0.297325685,0.070175439,0,0.000103334,0,,,0.066666667,0
0.340182597,0.365151491,0.105263158,0.111111111,0.000699826,0.125,0.422650483,0.214733032,0,0
0.360103418,0.360103418,0.105263158,0,0.00071737,0.375,0.423425162,0.246860899,0.066666667,1
0.481939081,0.614397673,0.122807018,0.555555556,0.009439996,0.125,0.57495599,0.421887416,0.216666667,1
0.448822817,0.448822817,0.052631579,0,0.002278776,0.125,0.390425379,0.170902892,0.2,1
0.362226711,0.474589965,0.228070175,0.333333333,0.007278789,0.625,0.463335289,0.405200388,0.2,1
0.441916458,0.597750667,0.385964912,0.222222222,0.004822641,0.375,0.625510876,0.508679565,0,1
0.297590692,0.362759958,0.052631579,0.333333333,0.000585791,0.25,0.403540875,0.21214264,0.033333333,0
0.357091379,0.390828149,0.157894737,0.111111111,0.001050704,0.25,0.456919094,0.327611133,0.1,1
0.373916135,0.373916135,0.087719298,0,0.001341932,0.375,0.467705406,0.481921511,0.333333333,1
0.467593116,0.560652824,0.105263158,0.222222222,0.011541952,0.125,0.570724853,0.416132544,0.244446667,1
0.292368102,0.463698796,0.298245614,0.333333333,0.006085801,0.125,0.493442252,0.311018619,0.083333333,1
0.327342652,0.327342652,0.210526316,0,0.001094564,0.125,0.519179098,0.346023923,0,0
0.433594571,0.433594571,0,0,0.000114211,0,,,0.133333333,0
0.362582209,0.392065929,0.122807018,0.222222222,0.00117242,0.375,0.444156192,0.303058413,0.044446667,1
0.330794215,0.330794215,0.087719298,0,0.000173509,0.375,0.421026488,0.408074323,0.066666667,1
0.330706956,0.405435889,0,0.111111111,0.002112109,0,,,0.066666667,1
0.301931001,0.301931001,0.052631579,0,6.82E-05,0.25,0.405514891,0.194209423,0,1
0.292368102,0.325484366,0.210526316,0.111111111,0.000655966,0.25,0.416303777,0.231514574,0.2,1
0.317514745,0.317514745,0.087719298,0,0.000261229,0.375,0.373431339,0.222980282,0,0
0.411547225,0.485125636,0.122807018,0.111111111,0.002366496,0,,,0.1,1
0.38932213,0.454045407,0.280701754,0.111111111,0.002541935,0.25,0.612397953,0.499760214,0.066666667,1
0.481140826,0.558083542,0.070175439,0.222222222,0.008282033,0,,,0.155553333,1
0.35851014,0.35851014,0.035087719,0,0.002103337,0,,,0.333333333,1
0.299539468,0.358775147,0.140350877,0.333333333,0.000612106,0.375,0.365746317,0.273041366,0.033333333,1
0.292368102,0.292368102,0.035087719,0,0.000875265,0.125,0.367509291,0.13973417,0.066666667,0
0.327520401,0.410128464,0.035087719,0.222222222,0.007717383,0.125,0.454731462,0.258367143,0.2,1
0.307596348,0.307596348,0.210526316,0,8.58E-05,0.25,0.364688533,0.168025456,0,0
0.371615093,0.408800194,0.157894737,0.111111111,0.000699826,0,,,0,1
0.366654278,0.39614123,0.070175439,0.111111111,0.002103337,0.375,0.457199625,0.296057353,0.066666667,1
0.332655732,0.35974792,0.070175439,0.111111111,0.000577019,0.375,0.428994616,0.32224132,0.066666667,1
0.333984003,0.416860305,0.192982456,0.111111111,0.001639508,0.5,0.400578564,0.284166051,0.033333333,1
0.292368102,0.502389917,0.421052632,0.222222222,0.004719834,0.375,0.37336185,0.486237665,0.333333333,1
0.319285772,0.526741537,0.403508772,0.666666667,0.004787553,0.5,0.570724853,0.429942136,0.066666667,1
0.478306536,0.478306536,0.070175439,0,0.000173509,0.25,0.570724853,0.48019575,0.133333333,1
0.311228892,0.435540115,0.087719298,0.333333333,0.001316793,0.375,0.396913637,0.210990965,0,0
0.292368102,0.292368102,0.035087719,0,0.000171755,0,,,0.066666667,0
0.284220732,0.35983841,0.105263158,0.222222222,0.000319123,0.125,0.401142201,0.1854791,0.066666667,0
0.417655328,0.52497051,0.052631579,0.333333333,0.00491036,0.25,0.433297816,0.387841258,0.133333333,1
0.292368102,0.34097762,0.122807018,0.111111111,0.000243685,0.25,0.405373339,0.246955414,0.333333333,1
0.321409065,0.321409065,0.210526316,0,0.000247193,0.375,0.375335866,0.193057748,1,1
0.327607659,0.367539792,0.140350877,0.111111111,0.000208597,0.25,0.43752638,0.300086463,0.333333333,1
0.460509009,0.492384261,0.105263158,0.111111111,0.00175246,0.25,0.557889887,0.587227965,0.233333333,1
0.37577442,0.441295952,0.052631579,0.111111111,0.001243687,0.375,0.379636493,0.493718298,0.033333333,1
0.334691767,0.334691767,0.052631579,0,8.58E-05,0.25,0.390494868,0.181740534,0,1
0.424474428,0.424474428,0.228070175,0,0.000173509,0.25,0.484840998,0.317445593,0.266666667,1
0.357004121,0.407297406,0.052631579,0.111111111,0.000366492,0.125,0.482303345,0.295868324,0.066666667,0
0.478749293,0.546484609,0.280701754,0.111111111,0.006313872,0.125,0.602947384,0.459959184,0,1
0.393659207,0.462105518,0.105263158,0.111111111,0.001184037,0.25,0.445352955,0.259903875,0.033333333,1
0.345582936,0.510889553,0.438596491,0.222222222,0.005980538,0.375,0.508956422,0.393592629,0.166666667,1
0.293518623,0.315830977,0.070175439,0.111111111,1.04E-05,0.25,0.376887798,0.16811997,0,1
0.331857478,0.331857478,0.035087719,0,0.000234913,0.375,0.38393712,0.229883327,0.6,1
0.365151491,0.44554577,0.385964912,0.222222222,0.006841555,0.625,0.502046079,0.390526165,0.133333333,1
0.338056072,0.430673023,0.087719298,0.111111111,0.000154211,0.25,0.398887654,0.317351079,0.166666667,1
0.479457057,0.479457057,0.01754386,0,0.002278776,0,,,0.2,1
0.403222106,0.472020684,0.175438596,0.222222222,0.003419129,0.125,0.566424226,0.410283158,0.155553333,1
0.300337723,0.324686111,0.052631579,0.444444444,3.05E-05,0.125,0.394584453,0.176559749,0.066666667,1
0.368160297,0.400743314,0.052631579,0.111111111,0.012682305,0,,,0.233333333,1
0.294494627,0.434124586,0.263157895,0.333333333,0.012261252,0,,,0.25,1
0.436251111,0.48999596,0.052631579,0.111111111,0.001770003,0.125,0.534199121,0.366453018,0.133333333,1
0.517621395,0.517621395,0.105263158,0,0.000875265,0.25,0.366873591,0.554907568,0.266666667,1
0.324686111,0.410306213,0.175438596,0.111111111,0.002120881,0.125,0.454731462,0.258367143,0,1
0.414998788,0.414998788,0.368421053,0,0.007892822,0,,,0,0
0.454045407,0.454045407,0.052631579,0,0.001138423,0.125,0.506205154,0.328377749,0,1
0.325749374,0.325749374,0.087719298,0,0.000454211,0.25,0.402199986,0.213101785,0.2,1
0.35974792,0.422260645,0.087719298,0.444444444,0.000204737,0.125,0.429136169,0.223554368,0.266666667,1
